,minutes_watched,clv,clv_wins,region,channel
600,164.0,284.56,281.105,West_EU,Instagram
601,377.0,36.0,36.0,USA/Canada/As,YouTube
602,95.0,174.0,174.0,Rest_of_the_world,YouTube
603,17873.0,78.23,78.23,Rest_of_the_world,Other
604,1713.0,91.5,91.5,Rest_of_the_world,YouTube
605,1331.0,91.5,91.5,Rest_of_the_world,YouTube
606,7215.0,64.8,64.8,USA/Canada/As,YouTube
607,203.0,119.0,119.0,USA/Canada/As,LinkedIn
608,922.0,36.0,36.0,Rest_of_the_world,Google
609,54.0,138.65,138.65,Rest_of_the_world,Instagram
610,4.0,386.0,281.105,West_EU,Instagram
611,5660.0,286.81,281.105,West_EU,YouTube
612,6380.0,172.78,172.78,Rest_of_the_world,YouTube
613,654.0,149.76,149.76,USA/Canada/As,Friend
614,2053.0,62.58,62.58,Rest_of_the_world,LinkedIn
615,1269.0,27.0,27.0,Rest_of_the_world,LinkedIn
616,1360.0,62.58,62.58,Rest_of_the_world,Friend
617,28.0,146.58,146.58,Rest_of_the_world,Instagram
618,10245.0,91.5,91.5,Rest_of_the_world,LinkedIn
619,1399.0,174.0,174.0,Rest_of_the_world,LinkedIn
620,373.0,174.0,174.0,USA/Canada/As,YouTube
621,340.0,49.5,49.5,Rest_of_the_world,LinkedIn
622,7356.0,119.0,119.0,Rest_of_the_world,Other
623,375.0,62.58,62.58,Rest_of_the_world,YouTube
624,1494.0,19.0,19.0,Rest_of_the_world,LinkedIn
625,45.0,164.88,164.88,West_EU,YouTube
626,974.0,63.63,63.63,Rest_of_the_world,Google
627,11157.0,174.0,174.0,Rest_of_the_world,Google
628,3116.0,184.3,184.3,USA/Canada/As,LinkedIn
629,2514.0,215.76,215.76,USA/Canada/As,Friend
630,1585.0,184.44,184.44,USA/Canada/As,YouTube
631,569.0,36.0,36.0,USA/Canada/As,Google
632,2314.0,62.58,62.58,Rest_of_the_world,Google
633,1154.0,34.2,34.2,Rest_of_the_world,Friend
634,282.0,19.0,19.0,Rest_of_the_world,Other
635,528.0,14.25,14.25,Rest_of_the_world,Friend
636,277.0,49.5,49.5,Rest_of_the_world,Other
637,195.0,184.44,184.44,USA/Canada/As,YouTube
638,14615.0,59.04,59.04,USA/Canada/As,YouTube
639,3938.0,205.84,205.84,Rest_of_the_world,Instagram
640,175.0,42.68,42.68,Rest_of_the_world,LinkedIn
641,10.0,174.51,174.51,USA/Canada/As,Instagram
642,821.0,62.58,62.58,Rest_of_the_world,YouTube
643,0.0,172.78,172.78,Rest_of_the_world,Other
644,41.0,49.41,49.41,USA/Canada/As,Other
645,1078.0,240.22,240.22,West_EU,Instagram
646,490.0,230.23,230.23,Rest_of_the_world,YouTube
647,1902.0,119.0,119.0,USA/Canada/As,YouTube
648,141.0,119.0,119.0,USA/Canada/As,YouTube
649,2131.0,96.99,96.99,Rest_of_the_world,LinkedIn
650,26141.0,221.97,221.97,West_EU,Friend
651,0.0,49.53,49.53,USA/Canada/As,Other
652,671.0,35.92,35.92,USA/Canada/As,Google
653,219.0,62.57,62.57,Rest_of_the_world,Google
654,8952.0,142.4,142.4,Rest_of_the_world,YouTube
655,3437.0,48.6,48.6,Rest_of_the_world,YouTube
656,234.0,19.0,19.0,Rest_of_the_world,YouTube
657,15.0,91.5,91.5,USA/Canada/As,Other
658,508.0,119.0,119.0,USA/Canada/As,Other
659,359.0,62.58,62.58,Rest_of_the_world,LinkedIn
660,474.0,19.0,19.0,Rest_of_the_world,Friend
661,21954.0,292.95,281.105,West_EU,YouTube
662,84.0,37.98,37.98,West_EU,Friend
663,1733.0,209.71,209.71,West_EU,Facebook
664,938.0,129.6,129.6,USA/Canada/As,LinkedIn
665,277.0,74.47,74.47,West_EU,Friend
666,11.0,118.38,118.38,USA/Canada/As,LinkedIn
667,418.0,142.65,142.65,USA/Canada/As,YouTube
668,2932.0,198.18,198.18,West_EU,YouTube
669,8075.0,119.0,119.0,Rest_of_the_world,Friend
670,830.0,174.0,174.0,USA/Canada/As,YouTube
671,269.0,182.51,182.51,West_EU,Instagram
672,3370.0,72.18,72.18,USA/Canada/As,YouTube
673,0.0,0.0,0.0,West_EU,Facebook
674,74.0,174.0,174.0,USA/Canada/As,YouTube
675,1441.0,62.58,62.58,Rest_of_the_world,Google
676,709.0,32.75,32.75,West_EU,Google
677,384.0,223.5,223.5,USA/Canada/As,Friend
678,4875.0,62.58,62.58,Rest_of_the_world,LinkedIn
679,1999.0,91.96,91.96,USA/Canada/As,Google
680,136.0,170.5,170.5,USA/Canada/As,YouTube
681,140.0,147.86,147.86,Rest_of_the_world,YouTube
682,42.0,121.0,121.0,USA/Canada/As,YouTube
683,850.0,178.49,178.49,West_EU,YouTube
684,2315.0,146.55,146.55,Rest_of_the_world,Facebook
685,88.0,184.44,184.44,USA/Canada/As,YouTube
686,371.0,174.0,174.0,Rest_of_the_world,YouTube
687,1653.0,174.0,174.0,Rest_of_the_world,Other
688,675.0,173.08,173.08,USA/Canada/As,YouTube
689,272.0,174.0,174.0,USA/Canada/As,YouTube
690,1968.0,220.34,220.34,West_EU,YouTube
691,96.0,199.49,199.49,USA/Canada/As,LinkedIn
692,177.0,174.0,174.0,USA/Canada/As,Google
693,944.0,19.0,19.0,Rest_of_the_world,Google
694,325.0,64.8,64.8,USA/Canada/As,YouTube
695,15.0,121.0,121.0,USA/Canada/As,Instagram
696,576.0,146.92,146.92,West_EU,YouTube
697,207.0,174.0,174.0,USA/Canada/As,YouTube
698,443.0,62.58,62.58,Rest_of_the_world,Other
699,2029.0,38.06,38.06,Rest_of_the_world,YouTube
700,209.0,184.44,184.44,USA/Canada/As,YouTube
701,1521.0,348.0,281.105,Rest_of_the_world,YouTube
702,178.0,137.38,137.38,USA/Canada/As,YouTube
703,874.0,150.54,150.54,USA/Canada/As,Instagram
704,557.0,14.25,14.25,Rest_of_the_world,YouTube
705,557.0,174.0,174.0,USA/Canada/As,Google
706,7050.0,303.44,281.105,USA/Canada/As,YouTube
707,570.0,91.5,91.5,Rest_of_the_world,LinkedIn
708,6812.0,154.88,154.88,USA/Canada/As,YouTube
709,1017.0,81.36,81.36,USA/Canada/As,YouTube
710,1260.0,118.95,118.95,Rest_of_the_world,LinkedIn
711,784.0,36.0,36.0,USA/Canada/As,Google
712,531.0,64.8,64.8,USA/Canada/As,Other
713,15053.0,148.41,148.41,USA/Canada/As,Other
714,295.0,119.0,119.0,USA/Canada/As,Other
715,384.0,91.5,91.5,Rest_of_the_world,YouTube
716,62.0,160.0,160.0,USA/Canada/As,YouTube
717,359.0,118.9,118.9,USA/Canada/As,Google
718,985.0,118.58,118.58,Rest_of_the_world,Friend
719,192.0,19.0,19.0,Rest_of_the_world,YouTube
720,1116.0,64.8,64.8,USA/Canada/As,LinkedIn
721,122.0,119.0,119.0,USA/Canada/As,Google
722,15413.0,36.0,36.0,Rest_of_the_world,Friend
723,11954.0,36.0,36.0,Rest_of_the_world,LinkedIn
724,253.0,32.52,32.52,West_EU,Google
725,1027.0,119.32,119.32,Rest_of_the_world,YouTube
726,474.0,119.0,119.0,USA/Canada/As,Google
727,233.0,77.31,77.31,Rest_of_the_world,Google
728,328.0,97.0,97.0,Rest_of_the_world,YouTube
729,134.0,119.0,119.0,USA/Canada/As,Google
730,947.0,142.51,142.51,Rest_of_the_world,Google
731,488.0,164.54,164.54,West_EU,Google
732,1049.0,119.34,119.34,USA/Canada/As,YouTube
733,2301.0,119.06,119.06,USA/Canada/As,Facebook
734,8793.0,123.65,123.65,USA/Canada/As,Google
735,311.0,119.11,119.11,West_EU,YouTube
736,13.0,118.96,118.96,USA/Canada/As,Google
737,182.0,184.44,184.44,USA/Canada/As,YouTube
738,89.0,62.58,62.58,Rest_of_the_world,YouTube
739,607.0,62.57,62.57,Rest_of_the_world,Google
740,17137.0,176.03,176.03,Rest_of_the_world,Friend
741,130.0,62.58,62.58,Rest_of_the_world,LinkedIn
742,1004.0,62.58,62.58,West_EU,LinkedIn
743,133.0,143.52,143.52,West_EU,LinkedIn
744,1111.0,118.31,118.31,USA/Canada/As,LinkedIn
745,2761.0,62.58,62.58,Rest_of_the_world,LinkedIn
746,2295.0,36.0,36.0,USA/Canada/As,YouTube
747,296.0,119.38,119.38,Rest_of_the_world,LinkedIn
748,2598.0,89.29,89.29,Rest_of_the_world,LinkedIn
749,1362.0,62.58,62.58,Rest_of_the_world,LinkedIn
750,0.0,119.01,119.01,USA/Canada/As,LinkedIn
751,1147.0,141.51,141.51,Rest_of_the_world,LinkedIn
752,105.0,119.26,119.26,USA/Canada/As,LinkedIn
753,670.0,62.57,62.57,Rest_of_the_world,LinkedIn
754,0.0,62.57,62.57,Rest_of_the_world,LinkedIn
755,603.0,149.99,149.99,Rest_of_the_world,LinkedIn
756,166.0,179.34,179.34,West_EU,Instagram
757,7.0,142.82,142.82,West_EU,LinkedIn
758,86.0,62.58,62.58,Rest_of_the_world,LinkedIn
759,81.0,62.58,62.58,Rest_of_the_world,Instagram
760,348.0,119.0,119.0,USA/Canada/As,LinkedIn
761,84.0,138.0,138.0,Rest_of_the_world,LinkedIn
762,2589.0,119.0,119.0,Rest_of_the_world,LinkedIn
763,310.0,62.58,62.58,Rest_of_the_world,LinkedIn
764,701.5,62.58,62.58,Rest_of_the_world,Instagram
765,235.0,156.0,156.0,Rest_of_the_world,LinkedIn
766,11429.0,36.0,36.0,USA/Canada/As,LinkedIn
767,23.0,119.0,119.0,USA/Canada/As,LinkedIn
768,78.0,62.58,62.58,Rest_of_the_world,Friend
769,2087.0,119.0,119.0,USA/Canada/As,LinkedIn
770,511.0,149.99,149.99,Rest_of_the_world,Twitter
771,2201.0,91.8,91.8,Rest_of_the_world,Friend
772,1027.0,62.58,62.58,Rest_of_the_world,LinkedIn
773,449.0,119.0,119.0,USA/Canada/As,LinkedIn
774,4900.0,148.69,148.69,West_EU,LinkedIn
775,112.0,62.58,62.58,Rest_of_the_world,LinkedIn
776,299.0,119.0,119.0,Rest_of_the_world,LinkedIn
777,2038.0,218.0,218.0,Rest_of_the_world,LinkedIn
778,198.0,119.0,119.0,Rest_of_the_world,Friend
779,905.0,144.18,144.18,Rest_of_the_world,LinkedIn
780,54.0,119.0,119.0,Rest_of_the_world,LinkedIn
781,49.0,62.58,62.58,USA/Canada/As,LinkedIn
782,914.0,144.72,144.72,West_EU,Instagram
783,2720.0,91.5,91.5,Rest_of_the_world,Google
784,2221.0,119.0,119.0,USA/Canada/As,LinkedIn
785,2345.0,119.0,119.0,USA/Canada/As,LinkedIn
786,1047.0,62.58,62.58,Rest_of_the_world,LinkedIn
787,1103.0,155.0,155.0,Rest_of_the_world,Friend
788,1301.0,119.0,119.0,USA/Canada/As,LinkedIn
789,26.0,62.58,62.58,Rest_of_the_world,Friend
790,0.0,119.0,119.0,Rest_of_the_world,Facebook
791,179.0,62.58,62.58,Rest_of_the_world,Friend
792,38.0,72.57,72.57,Rest_of_the_world,LinkedIn
793,15.0,62.58,62.58,Rest_of_the_world,Friend
794,731.0,119.0,119.0,West_EU,YouTube
795,929.0,145.17,145.17,West_EU,LinkedIn
796,551.0,62.58,62.58,Rest_of_the_world,Twitter
797,36.0,119.0,119.0,Rest_of_the_world,LinkedIn
798,72.0,62.58,62.58,Rest_of_the_world,LinkedIn
799,303.0,119.0,119.0,USA/Canada/As,YouTube
800,82.0,62.58,62.58,Rest_of_the_world,YouTube
801,340.0,118.84,118.84,USA/Canada/As,YouTube
802,4329.0,119.0,119.0,Rest_of_the_world,LinkedIn
803,421.0,78.88,78.88,Rest_of_the_world,LinkedIn
804,819.0,119.0,119.0,Rest_of_the_world,LinkedIn
