minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
6127.0,174.0,2,8,174.0,Rest_of_the_world,Other
138.0,91.5,2,1,91.5,Rest_of_the_world,Google
542.0,19.0,2,7,19.0,Rest_of_the_world,Friend
988.0,119.0,0,1,119.0,USA/Canada/As,Google
5905.0,119.0,0,8,119.0,USA/Canada/As,Other
248.0,119.34,0,3,119.34,USA/Canada/As,YouTube
352.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
104.0,118.43,0,3,118.43,USA/Canada/As,YouTube
664.0,119.02,2,4,119.02,Rest_of_the_world,LinkedIn
10700.0,34.2,2,7,34.2,Rest_of_the_world,Friend
46.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
3245.0,72.57,2,1,72.57,Rest_of_the_world,Google
326.0,62.57,2,7,62.57,Rest_of_the_world,Friend
2388.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
626.0,119.0,0,8,119.0,USA/Canada/As,Other
296.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
324.0,119.23,0,4,119.23,USA/Canada/As,LinkedIn
3146.0,62.58,2,1,62.58,Rest_of_the_world,Google
156.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
7208.0,143.85,0,4,143.85,USA/Canada/As,LinkedIn
544.0,62.75,2,4,62.75,Rest_of_the_world,LinkedIn
695.0,119.0,2,7,119.0,Rest_of_the_world,Friend
6522.0,118.78,0,4,118.78,USA/Canada/As,LinkedIn
1024.0,70.24,0,7,70.24,USA/Canada/As,Friend
1120.0,237.32,2,7,237.32,Rest_of_the_world,Friend
1095.0,62.58,2,6,62.58,Rest_of_the_world,Instagram
3976.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
4037.0,138.55,1,4,138.55,West_EU,LinkedIn
156.0,348.0,2,6,281.105,Rest_of_the_world,Instagram
440.0,201.73,2,7,201.73,Rest_of_the_world,Friend
138.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
2317.0,59.04,0,3,59.04,USA/Canada/As,YouTube
731.0,389.48,0,8,281.105,USA/Canada/As,Other
85.0,62.63,2,2,62.63,Rest_of_the_world,Facebook
9535.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
345.0,119.0,0,8,119.0,USA/Canada/As,Other
579.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
471.0,149.99,0,2,149.99,USA/Canada/As,Facebook
377.0,119.0,2,7,119.0,Rest_of_the_world,Friend
386.0,119.0,0,1,119.0,USA/Canada/As,Google
393.0,91.5,2,8,91.5,Rest_of_the_world,Other
1936.0,208.8,1,4,208.8,West_EU,LinkedIn
1940.0,143.99,1,2,143.99,West_EU,Facebook
227.0,27.0,0,7,27.0,USA/Canada/As,Friend
4828.0,111.62,1,7,111.62,West_EU,Friend
171.0,142.14,1,3,142.14,West_EU,YouTube
297.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
1278.0,62.58,2,7,62.58,Rest_of_the_world,Friend
1228.0,147.0,2,2,147.0,Rest_of_the_world,Facebook
101.0,118.64,0,4,118.64,USA/Canada/As,LinkedIn
135.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
262.0,119.0,2,1,119.0,Rest_of_the_world,Google
148.0,86.24,2,2,86.24,Rest_of_the_world,Facebook
411.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
29.0,119.0,0,6,119.0,USA/Canada/As,Instagram
669.0,119.0,0,3,119.0,USA/Canada/As,YouTube
279.0,119.27,2,4,119.27,Rest_of_the_world,LinkedIn
329.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
288508.0,34.2,2,2,34.2,Rest_of_the_world,Facebook
207.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
8349.0,119.09,0,8,119.09,USA/Canada/As,Other
1.0,119.0,0,3,119.0,USA/Canada/As,YouTube
107.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
350.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
1591.0,64.8,1,7,64.8,West_EU,Friend
786.0,155.2,0,6,155.2,USA/Canada/As,Instagram
260.0,62.58,2,7,62.58,Rest_of_the_world,Friend
607.0,119.0,2,5,119.0,Rest_of_the_world,Twitter
80.0,119.0,2,7,119.0,Rest_of_the_world,Friend
194.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
2849.0,229.66,2,2,229.66,Rest_of_the_world,Facebook
2891.0,101.02,2,6,101.02,Rest_of_the_world,Instagram
53.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
615.0,82.04,2,7,82.04,Rest_of_the_world,Friend
52.0,119.0,0,2,119.0,USA/Canada/As,Facebook
3635.0,119.0,0,3,119.0,USA/Canada/As,YouTube
1882.0,62.58,2,6,62.58,Rest_of_the_world,Instagram
198.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
109.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
38.0,119.0,0,5,119.0,USA/Canada/As,Twitter
1453.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
933.0,141.64,1,4,141.64,West_EU,LinkedIn
979.0,36.0,2,4,36.0,Rest_of_the_world,LinkedIn
899.0,145.72,1,8,145.72,West_EU,Other
784.0,174.0,0,1,174.0,USA/Canada/As,Google
454.0,91.5,2,3,91.5,Rest_of_the_world,YouTube
1289.0,42.8,1,2,42.8,West_EU,Facebook
972.0,27.0,2,7,27.0,Rest_of_the_world,Friend
1836.0,144.01,1,3,144.01,West_EU,YouTube
1242.0,118.32,2,1,118.32,Rest_of_the_world,Google
235.0,118.88,0,1,118.88,USA/Canada/As,Google
976.0,84.14,2,2,84.14,Rest_of_the_world,Facebook
419.0,62.58,2,1,62.58,Rest_of_the_world,Google
106.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
1.0,62.57,2,4,62.57,Rest_of_the_world,LinkedIn
1.0,62.58,1,4,62.58,West_EU,LinkedIn
2247.0,143.53,1,2,143.53,West_EU,Facebook
1186.0,9.5,0,2,9.5,USA/Canada/As,Facebook
879.0,143.52,2,3,143.52,Rest_of_the_world,YouTube
1074.0,147.58,1,6,147.58,West_EU,Instagram
605.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
970.0,36.0,0,3,36.0,USA/Canada/As,YouTube
795.0,62.58,2,1,62.58,Rest_of_the_world,Google
1636.0,119.02,1,6,119.02,West_EU,Instagram
7413.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
1806.0,64.8,2,6,64.8,Rest_of_the_world,Instagram
237.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
22621.0,151.3,0,8,151.3,USA/Canada/As,Other
68.0,144.47,1,3,144.47,West_EU,YouTube
325.0,62.58,2,7,62.58,Rest_of_the_world,Friend
35.0,150.78,0,1,150.78,USA/Canada/As,Google
12126.0,62.58,2,7,62.58,Rest_of_the_world,Friend
941.0,27.0,2,4,27.0,Rest_of_the_world,LinkedIn
386.0,119.0,2,7,119.0,Rest_of_the_world,Friend
738.0,119.38,0,3,119.38,USA/Canada/As,YouTube
8312.0,119.36,0,3,119.36,USA/Canada/As,YouTube
1235.0,142.14,1,4,142.14,West_EU,LinkedIn
2134.0,62.58,2,7,62.58,Rest_of_the_world,Friend
80.0,118.73,0,2,118.73,USA/Canada/As,Facebook
568.0,196.81,2,3,196.81,Rest_of_the_world,YouTube
678.0,113.46,2,4,113.46,Rest_of_the_world,LinkedIn
6008.0,185.99,2,4,185.99,Rest_of_the_world,LinkedIn
506.0,187.32,1,2,187.32,West_EU,Facebook
12.0,119.02,0,4,119.02,USA/Canada/As,LinkedIn
2880.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
47.0,119.0,0,3,119.0,USA/Canada/As,YouTube
2401.0,314.26,1,1,281.105,West_EU,Google
515.0,78.87,2,4,78.87,Rest_of_the_world,LinkedIn
1703.0,119.0,2,8,119.0,Rest_of_the_world,Other
37.0,118.66,0,8,118.66,USA/Canada/As,Other
1224.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
843.0,25.65,2,2,25.65,Rest_of_the_world,Facebook
649.0,240.0,2,3,240.0,Rest_of_the_world,YouTube
210.0,119.0,2,8,119.0,Rest_of_the_world,Other
844.0,36.0,2,2,36.0,Rest_of_the_world,Facebook
310.0,197.97,0,4,197.97,USA/Canada/As,LinkedIn
551.0,133.04,2,2,133.04,Rest_of_the_world,Facebook
264.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
8.0,118.52,0,5,118.52,USA/Canada/As,Twitter
2606.0,119.0,2,1,119.0,Rest_of_the_world,Google
60628.0,30.6,2,2,30.6,Rest_of_the_world,Facebook
